max_iterations,max_no_improvements,random_percentage,mode,total_price,envelopes,time,unassigned_coupons_total,unassigned_coupons_price
3,8,1,0,70.0,"20.0,20.0,20.0,10.0",0.198519123,20,102.7
3,8,1,1,70.0,"20.0,20.0,20.0,10.0",0.18030757,20,102.72
3,8,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.154188812,0,0.0
3,8,5,0,70.0,"20.0,20.0,20.0,10.0",0.188714065,20,124.46
3,8,5,1,70.0,"20.0,20.0,20.0,10.0",0.179510103,20,129.52
3,8,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.152065053,0,0.0
3,10,1,0,70.0,"20.0,20.0,20.0,10.0",0.19367423,20,102.66
3,10,1,1,70.0,"20.0,20.0,20.0,10.0",0.183812564,20,102.89
3,10,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.154703494,0,0.0
3,10,5,0,70.0,"20.0,20.0,20.0,10.0",0.194056662,20,142.21
3,10,5,1,70.0,"20.0,20.0,20.0,10.0",0.184370341,20,99.73
3,10,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.153307207,0,0.0
3,12,1,0,70.0,"20.0,20.0,20.0,10.0",0.19266355,20,103.78
3,12,1,1,70.0,"20.0,20.0,20.0,10.0",0.185499502,20,102.91
3,12,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.156898697,0,0.0
3,12,5,0,70.0,"20.0,20.0,20.0,10.0",0.198250865,20,113.95
3,12,5,1,70.0,"20.0,20.0,20.0,10.0",0.187174846,20,113.07
3,12,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.164475489,0,0.0
3,14,1,0,70.0,"20.0,20.0,20.0,10.0",0.192262526,20,102.97
3,14,1,1,70.0,"20.0,20.0,20.0,10.0",0.186283632,20,102.99
3,14,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.158073238,0,0.0
3,14,5,0,70.0,"20.0,20.0,20.0,10.0",0.192889964,20,116.89
3,14,5,1,70.0,"20.0,20.0,20.0,10.0",0.186887929,20,122.97
3,14,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.156529317,0,0.0
5,8,1,0,70.0,"20.0,20.0,20.0,10.0",0.316379573,20,103.56
5,8,1,1,70.0,"20.0,20.0,20.0,10.0",0.308657106,20,103.66
5,8,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.253003676,0,0.0
5,8,5,0,70.0,"20.0,20.0,20.0,10.0",0.315359724,20,102.33
5,8,5,1,70.0,"20.0,20.0,20.0,10.0",0.325836952,20,108.14
5,8,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.252192031,0,0.0
5,10,1,0,70.0,"20.0,20.0,20.0,10.0",0.316292671,20,103.66
5,10,1,1,70.0,"20.0,20.0,20.0,10.0",0.306739901,20,102.91
5,10,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.268884498,0,0.0
5,10,5,0,70.0,"20.0,20.0,20.0,10.0",0.316814353,20,119.98
5,10,5,1,70.0,"20.0,20.0,20.0,10.0",0.306510278,20,102.43
5,10,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.255913989,0,0.0
5,12,1,0,70.0,"20.0,20.0,20.0,10.0",0.325407574,20,103.74
5,12,1,1,70.0,"20.0,20.0,20.0,10.0",0.328288554,20,103.77
5,12,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.258188909,0,0.0
5,12,5,0,70.0,"20.0,20.0,20.0,10.0",0.320614484,20,98.36
5,12,5,1,70.0,"20.0,20.0,20.0,10.0",0.312083615,20,99.92
5,12,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.264764107,0,0.0
5,14,1,0,70.0,"20.0,20.0,20.0,10.0",0.32005632,20,102.89
5,14,1,1,70.0,"20.0,20.0,20.0,10.0",0.309371076,20,103.66
5,14,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.281600698,0,0.0
5,14,5,0,70.0,"20.0,20.0,20.0,10.0",0.335274763,20,102.0
5,14,5,1,70.0,"20.0,20.0,20.0,10.0",0.309129172,20,125.66
5,14,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.259386351,0,0.0
8,8,1,0,70.0,"20.0,20.0,20.0,10.0",0.5666182,20,103.77
8,8,1,1,70.0,"20.0,20.0,20.0,10.0",0.52160657,20,102.89
8,8,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.405783443,0,0.0
8,8,5,0,70.0,"20.0,20.0,20.0,10.0",0.536093783,20,108.14
8,8,5,1,70.0,"20.0,20.0,20.0,10.0",0.493657829,20,103.4
8,8,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.427956292,0,0.0
8,10,1,0,70.0,"20.0,20.0,20.0,10.0",0.531911207,20,102.91
8,10,1,1,70.0,"20.0,20.0,20.0,10.0",0.501098223,20,103.5
8,10,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.410240548,0,0.0
8,10,5,0,70.0,"20.0,20.0,20.0,10.0",0.513286738,20,105.72
8,10,5,1,70.0,"20.0,20.0,20.0,10.0",0.488748633,20,113.6
8,10,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.411034575,0,0.0
8,12,1,0,70.0,"20.0,20.0,20.0,10.0",0.509560142,20,103.66
8,12,1,1,70.0,"20.0,20.0,20.0,10.0",0.575834988,20,102.91
8,12,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.418481952,0,0.0
8,12,5,0,70.0,"20.0,20.0,20.0,10.0",0.512639486,20,100.52
8,12,5,1,70.0,"20.0,20.0,20.0,10.0",0.490005833,20,126.02
8,12,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.413344546,0,0.0
8,14,1,0,70.0,"20.0,20.0,20.0,10.0",0.514762349,20,102.89
8,14,1,1,70.0,"20.0,20.0,20.0,10.0",0.492674737,20,103.42
8,14,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.436665767,0,0.0
8,14,5,0,70.0,"20.0,20.0,20.0,10.0",0.517026433,20,123.79
8,14,5,1,70.0,"20.0,20.0,20.0,10.0",0.515879109,20,114.29
8,14,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.422384043,0,0.0
10,8,1,0,70.0,"20.0,20.0,20.0,10.0",0.624986199,20,103.66
10,8,1,1,70.0,"20.0,20.0,20.0,10.0",0.603488226,20,102.98
10,8,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.510484838,0,0.0
10,8,5,0,70.0,"20.0,20.0,20.0,10.0",0.632998172,20,105.48
10,8,5,1,70.0,"20.0,20.0,20.0,10.0",0.61012349,20,102.63
10,8,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.581486615,0,0.0
10,10,1,0,70.0,"20.0,20.0,20.0,10.0",0.639703508,20,102.74
10,10,1,1,70.0,"20.0,20.0,20.0,10.0",0.611731237,20,103.71
10,10,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.512446984,0,0.0
10,10,5,0,70.0,"20.0,20.0,20.0,10.0",0.688733591,20,139.14
10,10,5,1,70.0,"20.0,20.0,20.0,10.0",0.617069926,20,131.46
10,10,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.512448886,0,0.0
10,12,1,0,70.0,"20.0,20.0,20.0,10.0",0.64705987,20,103.71
10,12,1,1,70.0,"20.0,20.0,20.0,10.0",0.610676988,20,103.66
10,12,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.556128563,0,0.0
10,12,5,0,70.0,"20.0,20.0,20.0,10.0",0.651196502,20,113.46
10,12,5,1,70.0,"20.0,20.0,20.0,10.0",0.615812681,20,102.1
10,12,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.523815779,0,0.0
10,14,1,0,70.0,"20.0,20.0,20.0,10.0",0.661711711,20,102.73
10,14,1,1,70.0,"20.0,20.0,20.0,10.0",0.637859764,20,103.02
10,14,1,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.703558555,0,0.0
10,14,5,0,70.0,"20.0,20.0,20.0,10.0",0.642993534,20,109.46
10,14,5,1,70.0,"20.0,20.0,20.0,10.0",0.622206152,20,100.91
10,14,5,2,75.0,"15.0,15.0,15.0,15.0,15.0",0.524189423,0,0.0
