Time,Fitnes
0.061807611,70.0
0.062268729,70.0
0.062530172,70.0
0.062820506,70.0
0.063094814,70.0
0.063355907,70.0
0.063623005,70.0
0.06391723399999999,70.0
0.06422708999999999,70.0
0.06458320499999999,70.0
0.06494626899999999,70.0
0.06525990899999999,70.0
0.06556797399999999,70.0
0.06583818199999998,70.0
0.06612690599999999,70.0
0.06638158799999999,70.0
0.066659474,70.0
0.066942356,70.0
0.06725582999999999,70.0
0.06755941399999998,70.0
0.06786400199999998,70.0
0.06817828899999998,70.0
0.06845732799999997,70.0
0.06878208799999996,70.0
0.06917905699999996,70.0
0.06948202999999996,70.0
0.06978712999999996,70.0
0.07006680099999996,70.0
0.07034484099999995,70.0
0.07060424599999995,70.0
0.07089300599999995,70.0
0.07121103299999995,70.0
0.07148855899999995,70.0
0.07174980599999996,70.0
0.07201424599999996,70.0
0.07228308099999996,70.0
0.07257368799999996,70.0
0.07285088799999996,70.0
0.07312773099999996,70.0
0.07339883399999995,70.0
0.07366060699999996,70.0
0.07392387299999996,70.0
0.07418062199999996,70.0
0.07444716199999996,70.0
0.07468799299999995,70.0
0.07493451599999995,70.0
0.07517991099999995,70.0
0.07548091999999995,70.0
0.07573199999999995,70.0
0.07598158699999995,70.0
0.07624906099999995,70.0
0.07651327999999995,70.0
0.07676173999999995,70.0
0.07700561699999996,70.0
0.07724235799999996,70.0
0.07748808199999996,70.0
0.07772833999999995,70.0
0.07799165399999995,70.0
0.07823902499999995,70.0
0.07850642399999995,70.0
0.07879559399999995,70.0
0.07905588399999995,70.0
0.07929058799999995,70.0
0.07955947599999995,70.0
0.07980139499999994,70.0
0.08015031499999994,70.0
0.08040887499999995,70.0
0.08065560099999995,70.0
0.08090200999999995,70.0
0.08114367799999996,70.0
0.08139597399999995,70.0
0.08163885599999995,70.0
0.08195578399999995,70.0
0.08221570099999995,70.0
0.08247454299999994,70.0
0.08271044499999994,70.0
0.08296929399999994,70.0
0.08320674099999995,70.0
0.08345179099999994,70.0
0.08372758699999994,70.0
0.08396911299999994,70.0
0.08421464199999994,70.0
0.08446139899999994,70.0
0.08472581699999994,70.0
0.08496624499999994,70.0
0.08524442099999995,70.0
0.08548580399999994,70.0
0.08572758999999994,70.0
0.08599814199999993,70.0
0.08624053799999994,70.0
0.08648335299999993,70.0
0.08672812799999993,70.0
0.08697206499999993,70.0
0.08721482899999994,70.0
0.08746160199999994,70.0
0.08770171399999994,70.0
0.08797296399999995,70.0
0.08822073499999994,70.0
0.08845951299999993,70.0
0.08871772399999993,70.0
0.08896804799999992,70.0
0.08921921599999992,70.0
0.08947099299999992,70.0
0.08973244499999991,70.0
0.08997046799999991,70.0
0.09030745099999991,70.0
0.09055618899999991,70.0
0.09079800899999992,70.0
0.09103619699999992,70.0
0.09130602799999991,70.0
0.09154189899999991,70.0
0.09178186799999992,70.0
0.09204589899999992,70.0
0.09228536499999991,70.0
0.09252629299999991,70.0
0.09276637199999992,70.0
0.09303347899999992,70.0
0.09327373199999991,70.0
0.09354671099999992,70.0
0.09379868299999992,70.0
0.09404476599999992,70.0
0.09431442399999992,70.0
0.09455514899999992,70.0
0.09479539199999992,70.0
0.09503987799999992,70.0
0.09528104499999993,70.0
0.09554869099999992,70.0
0.09579311699999993,70.0
0.09603629499999992,70.0
0.09629758499999992,70.0
0.09653718799999993,70.0
0.09677793699999993,70.0
0.09702374399999993,70.0
0.09726586099999993,70.0
0.09752473099999992,70.0
0.09776473899999992,70.0
0.09800671099999991,70.0
0.09825416999999992,70.0
0.09854045999999991,70.0
0.09879227799999991,70.0
0.09903658699999991,70.0
0.0992773189999999,70.0
0.09954313399999991,70.0
0.0997846549999999,70.0
0.1000478689999999,70.0
0.10043561799999991,70.0
0.10070889599999991,70.0
0.10097384799999991,70.0
0.1012435209999999,70.0
0.10148597099999991,70.0
0.10175041199999992,70.0
0.10199599299999991,70.0
0.1022403379999999,70.0
0.1024802089999999,70.0
0.1027123339999999,70.0
0.10297150099999991,70.0
0.1032164199999999,70.0
0.10345773399999991,70.0
0.1037055849999999,70.0
0.1039496779999999,70.0
0.1041902239999999,70.0
0.1044285479999999,70.0
0.1046908229999999,70.0
0.1051070659999999,70.0
0.1053503519999999,70.0
0.1056006659999999,70.0
0.1058406169999999,70.0
0.1061014209999999,70.0
0.1063483959999999,70.0
0.1065890759999999,70.0
0.10684838899999989,70.0
